CD01O313E 004798 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O313E 004798 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O313E 004798 FRANCISCO ARAÚJO                        Não       PSD       Roraima                  570
CD01O313E 004798 LUCIANO CASTRO                          Não       PR        Roraima                  4  
CD01O313E 004798 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O313E 004798 TERESA SURITA                           Não       PMDB      Roraima                  8  
CD01O313E 004798 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O313E 004798 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O313E 004798 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O313E 004798 JANETE CAPIBERIBE                       Não       PSB       Amapá                    572
CD01O313E 004798 LUIZ CARLOS                             Obstrução PSDB      Amapá                    14 
CD01O313E 004798 SEBASTIÃO BALA ROCHA                    Não       PDT       Amapá                    17 
CD01O313E 004798 ASDRUBAL BENTES                         Não       PMDB      Pará                     20 
CD01O313E 004798 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O313E 004798 GIOVANNI QUEIROZ                        Não       PDT       Pará                     27 
CD01O313E 004798 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O313E 004798 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O313E 004798 WLADIMIR COSTA                          Não       PMDB      Pará                     23 
CD01O313E 004798 ZÉ GERALDO                              Não       PT        Pará                     25 
CD01O313E 004798 ZEQUINHA MARINHO                        Não       PSC       Pará                     33 
CD01O313E 004798 ÁTILA LINS                              Não       PSD       Amazonas                 38 
CD01O313E 004798 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O313E 004798 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O313E 004798 LINDOMAR GARÇON                         Não       PV        Rondonia                 45 
CD01O313E 004798 MARINHA RAUPP                           Não       PMDB      Rondonia                 50 
CD01O313E 004798 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O313E 004798 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O313E 004798 NILTON CAPIXABA                         Não       PTB       Rondonia                 47 
CD01O313E 004798 PADRE TON                               Não       PT        Rondonia                 48 
CD01O313E 004798 FLAVIANO MELO                           Não       PMDB      Acre                     54 
CD01O313E 004798 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O313E 004798 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O313E 004798 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O313E 004798 TAUMATURGO LIMA                         Não       PT        Acre                     59 
CD01O313E 004798 ÂNGELO AGNOLIN                          Não       PDT       Tocantins                61 
CD01O313E 004798 CÉSAR HALUM                             Não       PSD       Tocantins                64 
CD01O313E 004798 JÚNIOR COIMBRA                          Não       PMDB      Tocantins                66 
CD01O313E 004798 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O313E 004798 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O313E 004798 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O313E 004798 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O313E 004798 CLEBER VERDE                            Não       PRB       Maranhão                 70 
CD01O313E 004798 COSTA FERREIRA                          Não       PSC       Maranhão                 571
CD01O313E 004798 EDIVALDO HOLANDA JUNIOR                 Não       PTC       Maranhão                 73 
CD01O313E 004798 HÉLIO SANTOS                            Não       PSD       Maranhão                 76 
CD01O313E 004798 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O313E 004798 PEDRO NOVAIS                            Não       PMDB      Maranhão                 82 
CD01O313E 004798 PINTO ITAMARATY                         Abstenção PSDB      Maranhão                 79 
CD01O313E 004798 PROFESSOR SETIMO                        Não       PMDB      Maranhão                 81 
CD01O313E 004798 RIBAMAR ALVES                           Não       PSB       Maranhão                 74 
CD01O313E 004798 WALDIR MARANHÃO                         Não       PP        Maranhão                 84 
CD01O313E 004798 WEVERTON ROCHA                          Não       PDT       Maranhão                 579
CD01O313E 004798 ANDRÉ FIGUEIREDO                        Não       PDT       Ceará                    89 
CD01O313E 004798 ANÍBAL GOMES                            Não       PMDB      Ceará                    87 
CD01O313E 004798 ANTONIO BALHMANN                        Não       PSB       Ceará                    93 
CD01O313E 004798 ARIOSTO HOLANDA                         Não       PSB       Ceará                    92 
