CD01O330E 004819 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O330E 004819 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O330E 004819 JHONATAN DE JESUS                       Não       PRB       Roraima                  5  
CD01O330E 004819 TERESA SURITA                           Não       PMDB      Roraima                  8  
CD01O330E 004819 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O330E 004819 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O330E 004819 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O330E 004819 JANETE CAPIBERIBE                       Não       PSB       Amapá                    572
CD01O330E 004819 SEBASTIÃO BALA ROCHA                    Não       PDT       Amapá                    17 
CD01O330E 004819 VINICIUS GURGEL                         Não       PR        Amapá                    16 
CD01O330E 004819 ASDRUBAL BENTES                         Não       PMDB      Pará                     20 
CD01O330E 004819 BETO FARO                               Não       PT        Pará                     19 
CD01O330E 004819 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O330E 004819 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O330E 004819 GIOVANNI QUEIROZ                        Não       PDT       Pará                     27 
CD01O330E 004819 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD01O330E 004819 LIRA MAIA                               Obstrução DEM       Pará                     28 
CD01O330E 004819 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O330E 004819 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O330E 004819 ÁTILA LINS                              Não       PSD       Amazonas                 38 
CD01O330E 004819 CARLOS SOUZA                            Não       PSD       Amazonas                 37 
CD01O330E 004819 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O330E 004819 HENRIQUE OLIVEIRA                       Não       PR        Amazonas                 36 
CD01O330E 004819 PAUDERNEY AVELINO                       Obstrução DEM       Amazonas                 40 
CD01O330E 004819 REBECCA GARCIA                          Não       PP        Amazonas                 42 
CD01O330E 004819 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O330E 004819 MARCOS ROGÉRIO                          Não       PDT       Rondonia                 583
CD01O330E 004819 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O330E 004819 MOREIRA MENDES                          Sim       PSD       Rondonia                 49 
CD01O330E 004819 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O330E 004819 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O330E 004819 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O330E 004819 TAUMATURGO LIMA                         Não       PT        Acre                     59 
CD01O330E 004819 ÂNGELO AGNOLIN                          Não       PDT       Tocantins                61 
CD01O330E 004819 CÉSAR HALUM                             Não       PSD       Tocantins                64 
CD01O330E 004819 JÚNIOR COIMBRA                          Não       PMDB      Tocantins                66 
CD01O330E 004819 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O330E 004819 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O330E 004819 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O330E 004819 DOMINGOS DUTRA                          Não       PT        Maranhão                 72 
CD01O330E 004819 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O330E 004819 SARNEY FILHO                            Não       PV        Maranhão                 85 
CD01O330E 004819 WALDIR MARANHÃO                         Não       PP        Maranhão                 84 
CD01O330E 004819 WEVERTON ROCHA                          Não       PDT       Maranhão                 579
CD01O330E 004819 ZÉ VIEIRA                               Não       PR        Maranhão                 86 
CD01O330E 004819 ANDRÉ FIGUEIREDO                        Não       PDT       Ceará                    89 
CD01O330E 004819 ANÍBAL GOMES                            Não       PMDB      Ceará                    87 
CD01O330E 004819 ANTONIO BALHMANN                        Não       PSB       Ceará                    93 
CD01O330E 004819 ARIOSTO HOLANDA                         Não       PSB       Ceará                    92 
CD01O330E 004819 ARTUR BRUNO                             Não       PT        Ceará                    94 
CD01O330E 004819 EDSON SILVA                             Não       PSB       Ceará                    98 
CD01O330E 004819 EUDES XAVIER                            Não       PT        Ceará                    91 
CD01O330E 004819 GORETE PEREIRA                          Não       PR        Ceará                    100
CD01O330E 004819 JOSÉ GUIMARÃES                          Não       PT        Ceará                    103
CD01O330E 004819 JOSÉ LINHARES                           Não       PP        Ceará                    96 
CD01O330E 004819 MANOEL SALVIANO                         Não       PSD       Ceará                    104
CD01O330E 004819 MAURO BENEVIDES                         Não       PMDB      Ceará                    105
CD01O330E 004819 RAIMUNDÃO                               Não       PMDB      Ceará                    108
CD01O330E 004819 RAIMUNDO GOMES DE MATOS                 Obstrução PSDB      Ceará                    102
CD01O330E 004819 VICENTE ARRUDA                          Não       PR        Ceará                    107
CD01O330E 004819 ASSIS CARVALHO                          Não       PT        Piauí                    111
CD01O330E 004819 HUGO NAPOLEÃO                           Não       PSD       Piauí                    112
CD01O330E 004819 IRACEMA PORTELLA                        Não       PP        Piauí                    113
CD01O330E 004819 JESUS RODRIGUES                         Não       PT        Piauí                    115
CD01O330E 004819 JÚLIO CESAR                             Não       PSD       Piauí                    114
CD01O330E 004819 MARCELO CASTRO                          Não       PMDB      Piauí                    110
CD01O330E 004819 MARLLOS SAMPAIO                         Não       PMDB      Piauí                    117
CD01O330E 004819 PAES LANDIM                             Não       PTB       Piauí                    118
CD01O330E 004819 FÁBIO FARIA                             Não       PSD       Rio Grande do Norte      119
CD01O330E 004819 FÁTIMA BEZERRA                          Não       PT        Rio Grande do Norte      121
CD01O330E 004819 HENRIQUE EDUARDO ALVES                  Não       PMDB      Rio Grande do Norte      123
CD01O330E 004819 EFRAIM FILHO                            Obstrução DEM       Paraíba                  128
CD01O330E 004819 LUIZ COUTO                              Não       PT        Paraíba                  133
CD01O330E 004819 WILSON FILHO                            Não       PMDB      Paraíba                  139
CD01O330E 004819 AUGUSTO COUTINHO                        Obstrução DEM       Pernambuco               144
CD01O330E 004819 CARLOS EDUARDO CADOCA                   Não       PSC       Pernambuco               152
CD01O330E 004819 FERNANDO FERRO                          Não       PT        Pernambuco               141
CD01O330E 004819 INOCÊNCIO OLIVEIRA                      Não       PR        Pernambuco               145
CD01O330E 004819 JOÃO PAULO  LIMA                        Não       PT        Pernambuco               149
CD01O330E 004819 JORGE CORTE REAL                        Não       PTB       Pernambuco               150
CD01O330E 004819 LUCIANA SANTOS                          Não       PCdoB     Pernambuco               153
CD01O330E 004819 MENDONÇA FILHO                          Obstrução DEM       Pernambuco               154
CD01O330E 004819 PASTOR EURICO                           Não       PSB       Pernambuco               155
CD01O330E 004819 PEDRO EUGÊNIO                           Não       PT        Pernambuco               161
CD01O330E 004819 RAUL HENRY                              Não       PMDB      Pernambuco               163
CD01O330E 004819 SEVERINO NINHO                          Não       PSB       Pernambuco               580
CD01O330E 004819 SILVIO COSTA                            Não       PTB       Pernambuco               160
CD01O330E 004819 VILALBA                                 Não       PRB       Pernambuco               555
CD01O330E 004819 ARTHUR LIRA                             Não       PP        Alagoas                  162
CD01O330E 004819 CELIA ROCHA                             Não       PTB       Alagoas                  165
CD01O330E 004819 GIVALDO CARIMBÃO                        Não       PSB       Alagoas                  166
CD01O330E 004819 JOAQUIM BELTRÃO                         Não       PMDB      Alagoas                  172
CD01O330E 004819 MAURÍCIO QUINTELLA LESSA                Não       PR        Alagoas                  168
CD01O330E 004819 ROSINHA DA ADEFAL                       Não       PTdoB     Alagoas                  170
CD01O330E 004819 ALMEIDA LIMA                            Obstrução PPS       Sergipe                  173
CD01O330E 004819 HELENO SILVA                            Não       PRB       Sergipe                  175
CD01O330E 004819 LAERCIO OLIVEIRA                        Não       PR        Sergipe                  176
CD01O330E 004819 MÁRCIO MACÊDO                           Não       PT        Sergipe                  177
CD01O330E 004819 VALADARES FILHO                         Não       PSB       Sergipe                  183
CD01O330E 004819 ALICE PORTUGAL                          Não       PCdoB     Bahia                    180
CD01O330E 004819 AMAURI TEIXEIRA                         Não       PT        Bahia                    184
CD01O330E 004819 ANTONIO BRITO                           Não       PTB       Bahia                    189
CD01O330E 004819 ANTONIO CARLOS MAGALHÃES NETO           Obstrução DEM       Bahia                    181
CD01O330E 004819 DANIEL ALMEIDA                          Não       PCdoB     Bahia                    188
CD01O330E 004819 EMILIANO JOSÉ                           Não       PT        Bahia                    523
CD01O330E 004819 FELIX MENDONÇA JÚNIOR                   Não       PDT       Bahia                    195
