CD01O314E 004806 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O314E 004806 EDIO LOPES                              Sim       PMDB      Roraima                  2  
CD01O314E 004806 FRANCISCO ARAÚJO                        Sim       PSD       Roraima                  570
CD01O314E 004806 JHONATAN DE JESUS                       Sim       PRB       Roraima                  5  
CD01O314E 004806 LUCIANO CASTRO                          Sim       PR        Roraima                  4  
CD01O314E 004806 PAULO CESAR QUARTIERO                   Não       DEM       Roraima                  6  
CD01O314E 004806 DALVA FIGUEIREDO                        Sim       PT        Amapá                    9  
CD01O314E 004806 DAVI ALCOLUMBRE                         Obstrução DEM       Amapá                    10 
CD01O314E 004806 EVANDRO MILHOMEN                        Sim       PCdoB     Amapá                    11 
CD01O314E 004806 FÁTIMA PELAES                           Sim       PMDB      Amapá                    12 
CD01O314E 004806 JANETE CAPIBERIBE                       Sim       PSB       Amapá                    572
CD01O314E 004806 LUIZ CARLOS                             Não       PSDB      Amapá                    14 
CD01O314E 004806 SEBASTIÃO BALA ROCHA                    Sim       PDT       Amapá                    17 
CD01O314E 004806 VINICIUS GURGEL                         Sim       PR        Amapá                    16 
CD01O314E 004806 ASDRUBAL BENTES                         Sim       PMDB      Pará                     20 
CD01O314E 004806 BETO FARO                               Sim       PT        Pará                     19 
CD01O314E 004806 CLÁUDIO PUTY                            Sim       PT        Pará                     22 
CD01O314E 004806 ELCIONE BARBALHO                        Sim       PMDB      Pará                     21 
CD01O314E 004806 GIOVANNI QUEIROZ                        Sim       PDT       Pará                     27 
CD01O314E 004806 JOSÉ PRIANTE                            Sim       PMDB      Pará                     26 
CD01O314E 004806 JOSUÉ BENGTSON                          Sim       PTB       Pará                     30 
CD01O314E 004806 LÚCIO VALE                              Sim       PR        Pará                     29 
CD01O314E 004806 MIRIQUINHO BATISTA                      Sim       PT        Pará                     35 
CD01O314E 004806 WANDENKOLK GONÇALVES                    Não       PSDB      Pará                     32 
CD01O314E 004806 WLADIMIR COSTA                          Sim       PMDB      Pará                     23 
CD01O314E 004806 ZÉ GERALDO                              Sim       PT        Pará                     25 
CD01O314E 004806 ZEQUINHA MARINHO                        Sim       PSC       Pará                     33 
CD01O314E 004806 ÁTILA LINS                              Sim       PSD       Amazonas                 38 
CD01O314E 004806 CARLOS SOUZA                            Sim       PSD       Amazonas                 37 
CD01O314E 004806 FRANCISCO PRACIANO                      Sim       PT        Amazonas                 41 
CD01O314E 004806 HENRIQUE OLIVEIRA                       Sim       PR        Amazonas                 36 
CD01O314E 004806 PAUDERNEY AVELINO                       Não       DEM       Amazonas                 40 
CD01O314E 004806 REBECCA GARCIA                          Sim       PP        Amazonas                 42 
CD01O314E 004806 SABINO CASTELO BRANCO                   Não       PTB       Amazonas                 43 
CD01O314E 004806 SILAS CÂMARA                            Sim       PSD       Amazonas                 39 
CD01O314E 004806 CARLOS MAGNO                            Sim       PP        Rondonia                 44 
CD01O314E 004806 LINDOMAR GARÇON                         Sim       PV        Rondonia                 45 
CD01O314E 004806 MARINHA RAUPP                           Sim       PMDB      Rondonia                 50 
CD01O314E 004806 MAURO NAZIF                             Sim       PSB       Rondonia                 46 
CD01O314E 004806 MOREIRA MENDES                          Sim       PSD       Rondonia                 49 
CD01O314E 004806 NATAN DONADON                           Sim       PMDB      Rondonia                 51 
CD01O314E 004806 PADRE TON                               Sim       PT        Rondonia                 48 
CD01O314E 004806 ANTÔNIA LÚCIA                           Sim       PSC       Acre                     53 
CD01O314E 004806 FLAVIANO MELO                           Sim       PMDB      Acre                     54 
CD01O314E 004806 HENRIQUE AFONSO                         Sim       PV        Acre                     52 
CD01O314E 004806 PERPÉTUA ALMEIDA                        Sim       PCdoB     Acre                     56 
CD01O314E 004806 SIBÁ MACHADO                            Sim       PT        Acre                     58 
CD01O314E 004806 TAUMATURGO LIMA                         Sim       PT        Acre                     59 
CD01O314E 004806 ÂNGELO AGNOLIN                          Sim       PDT       Tocantins                61 
CD01O314E 004806 CÉSAR HALUM                             Sim       PSD       Tocantins                64 
CD01O314E 004806 IRAJÁ ABREU                             Sim       PSD       Tocantins                65 
CD01O314E 004806 JÚNIOR COIMBRA                          Sim       PMDB      Tocantins                66 
CD01O314E 004806 LAUREZ MOREIRA                          Sim       PSB       Tocantins                62 
CD01O314E 004806 LÁZARO BOTELHO                          Sim       PP        Tocantins                63 
CD01O314E 004806 PROFESSORA DORINHA SEABRA REZEN         Não       DEM       Tocantins                67 
CD01O314E 004806 ALBERTO FILHO                           Sim       PMDB      Maranhão                 71 
CD01O314E 004806 CLEBER VERDE                            Sim       PRB       Maranhão                 70 
CD01O314E 004806 COSTA FERREIRA                          Sim       PSC       Maranhão                 571
CD01O314E 004806 DOMINGOS DUTRA                          Sim       PT        Maranhão                 72 
CD01O314E 004806 EDIVALDO HOLANDA JUNIOR                 Sim       PTC       Maranhão                 73 
CD01O314E 004806 FRANCISCO ESCÓRCIO                      Sim       PMDB      Maranhão                 567
CD01O314E 004806 HÉLIO SANTOS                            Sim       PSD       Maranhão                 76 
CD01O314E 004806 LOURIVAL MENDES                         Sim       PTdoB     Maranhão                 77 
CD01O314E 004806 PEDRO NOVAIS                            Sim       PMDB      Maranhão                 82 
CD01O314E 004806 PINTO ITAMARATY                         Obstrução PSDB      Maranhão                 79 
CD01O314E 004806 PROFESSOR SETIMO                        Sim       PMDB      Maranhão                 81 
CD01O314E 004806 RIBAMAR ALVES                           Sim       PSB       Maranhão                 74 
CD01O314E 004806 SARNEY FILHO                            Sim       PV        Maranhão                 85 
CD01O314E 004806 WALDIR MARANHÃO                         Sim       PP        Maranhão                 84 
CD01O314E 004806 WEVERTON ROCHA                          Sim       PDT       Maranhão                 579
CD01O314E 004806 ANDRÉ FIGUEIREDO                        Sim       PDT       Ceará                    89 
CD01O314E 004806 ANÍBAL GOMES                            Sim       PMDB      Ceará                    87 
CD01O314E 004806 ANTONIO BALHMANN                        Sim       PSB       Ceará                    93 
CD01O314E 004806 ARIOSTO HOLANDA                         Sim       PSB       Ceará                    92 
CD01O314E 004806 ARTUR BRUNO                             Sim       PT        Ceará                    94 
CD01O314E 004806 CHICO LOPES                             Sim       PCdoB     Ceará                    88 
CD01O314E 004806 DANILO FORTE                            Sim       PMDB      Ceará                    95 
CD01O314E 004806 DOMINGOS NETO                           Sim       PSB       Ceará                    97 
CD01O314E 004806 EDSON SILVA                             Sim       PSB       Ceará                    98 
CD01O314E 004806 EUDES XAVIER                            Sim       PT        Ceará                    91 
CD01O314E 004806 GENECIAS NORONHA                        Sim       PMDB      Ceará                    99 
CD01O314E 004806 GORETE PEREIRA                          Sim       PR        Ceará                    100
CD01O314E 004806 JOÃO ANANIAS                            Sim       PCdoB     Ceará                    106
CD01O314E 004806 JOSÉ GUIMARÃES                          Sim       PT        Ceará                    103
CD01O314E 004806 MANOEL SALVIANO                         Sim       PSD       Ceará                    104
CD01O314E 004806 MAURO BENEVIDES                         Sim       PMDB      Ceará                    105
CD01O314E 004806 RAIMUNDÃO                               Sim       PMDB      Ceará                    108
CD01O314E 004806 VICENTE ARRUDA                          Sim       PR        Ceará                    107
CD01O314E 004806 ASSIS CARVALHO                          Sim       PT        Piauí                    111
CD01O314E 004806 HUGO NAPOLEÃO                           Sim       PSD       Piauí                    112
CD01O314E 004806 IRACEMA PORTELLA                        Sim       PP        Piauí                    113
CD01O314E 004806 JESUS RODRIGUES                         Sim       PT        Piauí                    115
CD01O314E 004806 JÚLIO CESAR                             Sim       PSD       Piauí                    114
CD01O314E 004806 MARCELO CASTRO                          Sim       PMDB      Piauí                    110
CD01O314E 004806 OSMAR JÚNIOR                            Sim       PCdoB     Piauí                    116
CD01O314E 004806 PAES LANDIM                             Sim       PTB       Piauí                    118
