CD01O314E 004804 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O314E 004804 EDIO LOPES                              Sim       PMDB      Roraima                  2  
CD01O314E 004804 FRANCISCO ARAÚJO                        Sim       PSD       Roraima                  570
CD01O314E 004804 JHONATAN DE JESUS                       Sim       PRB       Roraima                  5  
CD01O314E 004804 LUCIANO CASTRO                          Sim       PR        Roraima                  4  
CD01O314E 004804 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O314E 004804 DALVA FIGUEIREDO                        Sim       PT        Amapá                    9  
CD01O314E 004804 EVANDRO MILHOMEN                        Sim       PCdoB     Amapá                    11 
CD01O314E 004804 FÁTIMA PELAES                           Sim       PMDB      Amapá                    12 
CD01O314E 004804 JANETE CAPIBERIBE                       Sim       PSB       Amapá                    572
CD01O314E 004804 SEBASTIÃO BALA ROCHA                    Sim       PDT       Amapá                    17 
CD01O314E 004804 VINICIUS GURGEL                         Sim       PR        Amapá                    16 
CD01O314E 004804 ASDRUBAL BENTES                         Sim       PMDB      Pará                     20 
CD01O314E 004804 BETO FARO                               Sim       PT        Pará                     19 
CD01O314E 004804 CLÁUDIO PUTY                            Sim       PT        Pará                     22 
CD01O314E 004804 ELCIONE BARBALHO                        Sim       PMDB      Pará                     21 
CD01O314E 004804 GIOVANNI QUEIROZ                        Sim       PDT       Pará                     27 
CD01O314E 004804 JOSUÉ BENGTSON                          Sim       PTB       Pará                     30 
CD01O314E 004804 LÚCIO VALE                              Sim       PR        Pará                     29 
CD01O314E 004804 MIRIQUINHO BATISTA                      Sim       PT        Pará                     35 
CD01O314E 004804 WANDENKOLK GONÇALVES                    Obstrução PSDB      Pará                     32 
CD01O314E 004804 WLADIMIR COSTA                          Sim       PMDB      Pará                     23 
CD01O314E 004804 ZÉ GERALDO                              Sim       PT        Pará                     25 
CD01O314E 004804 ZEQUINHA MARINHO                        Sim       PSC       Pará                     33 
CD01O314E 004804 ÁTILA LINS                              Sim       PSD       Amazonas                 38 
CD01O314E 004804 CARLOS SOUZA                            Sim       PSD       Amazonas                 37 
CD01O314E 004804 FRANCISCO PRACIANO                      Sim       PT        Amazonas                 41 
CD01O314E 004804 HENRIQUE OLIVEIRA                       Sim       PR        Amazonas                 36 
CD01O314E 004804 PAUDERNEY AVELINO                       Obstrução DEM       Amazonas                 40 
CD01O314E 004804 REBECCA GARCIA                          Sim       PP        Amazonas                 42 
CD01O314E 004804 SABINO CASTELO BRANCO                   Não       PTB       Amazonas                 43 
CD01O314E 004804 SILAS CÂMARA                            Sim       PSD       Amazonas                 39 
CD01O314E 004804 CARLOS MAGNO                            Sim       PP        Rondonia                 44 
CD01O314E 004804 LINDOMAR GARÇON                         Sim       PV        Rondonia                 45 
CD01O314E 004804 MARINHA RAUPP                           Sim       PMDB      Rondonia                 50 
CD01O314E 004804 MAURO NAZIF                             Sim       PSB       Rondonia                 46 
CD01O314E 004804 MOREIRA MENDES                          Sim       PSD       Rondonia                 49 
CD01O314E 004804 NATAN DONADON                           Sim       PMDB      Rondonia                 51 
CD01O314E 004804 NILTON CAPIXABA                         Sim       PTB       Rondonia                 47 
CD01O314E 004804 PADRE TON                               Sim       PT        Rondonia                 48 
CD01O314E 004804 ANTÔNIA LÚCIA                           Sim       PSC       Acre                     53 
CD01O314E 004804 FLAVIANO MELO                           Sim       PMDB      Acre                     54 
CD01O314E 004804 HENRIQUE AFONSO                         Sim       PV        Acre                     52 
CD01O314E 004804 PERPÉTUA ALMEIDA                        Sim       PCdoB     Acre                     56 
CD01O314E 004804 SIBÁ MACHADO                            Sim       PT        Acre                     58 
CD01O314E 004804 TAUMATURGO LIMA                         Sim       PT        Acre                     59 
CD01O314E 004804 ÂNGELO AGNOLIN                          Sim       PDT       Tocantins                61 
CD01O314E 004804 CÉSAR HALUM                             Sim       PSD       Tocantins                64 
CD01O314E 004804 IRAJÁ ABREU                             Sim       PSD       Tocantins                65 
CD01O314E 004804 JÚNIOR COIMBRA                          Sim       PMDB      Tocantins                66 
CD01O314E 004804 LAUREZ MOREIRA                          Sim       PSB       Tocantins                62 
CD01O314E 004804 LÁZARO BOTELHO                          Sim       PP        Tocantins                63 
CD01O314E 004804 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O314E 004804 ALBERTO FILHO                           Sim       PMDB      Maranhão                 71 
CD01O314E 004804 CLEBER VERDE                            Sim       PRB       Maranhão                 70 
CD01O314E 004804 COSTA FERREIRA                          Sim       PSC       Maranhão                 571
CD01O314E 004804 DOMINGOS DUTRA                          Sim       PT        Maranhão                 72 
CD01O314E 004804 EDIVALDO HOLANDA JUNIOR                 Sim       PTC       Maranhão                 73 
CD01O314E 004804 FRANCISCO ESCÓRCIO                      Sim       PMDB      Maranhão                 567
CD01O314E 004804 HÉLIO SANTOS                            Sim       PSD       Maranhão                 76 
CD01O314E 004804 LOURIVAL MENDES                         Sim       PTdoB     Maranhão                 77 
CD01O314E 004804 PROFESSOR SETIMO                        Sim       PMDB      Maranhão                 81 
CD01O314E 004804 SARNEY FILHO                            Sim       PV        Maranhão                 85 
CD01O314E 004804 WALDIR MARANHÃO                         Sim       PP        Maranhão                 84 
CD01O314E 004804 WEVERTON ROCHA                          Sim       PDT       Maranhão                 579
CD01O314E 004804 ANDRÉ FIGUEIREDO                        Sim       PDT       Ceará                    89 
CD01O314E 004804 ANTONIO BALHMANN                        Sim       PSB       Ceará                    93 
CD01O314E 004804 ARIOSTO HOLANDA                         Sim       PSB       Ceará                    92 
CD01O314E 004804 ARTUR BRUNO                             Sim       PT        Ceará                    94 
CD01O314E 004804 CHICO LOPES                             Sim       PCdoB     Ceará                    88 
CD01O314E 004804 DOMINGOS NETO                           Sim       PSB       Ceará                    97 
CD01O314E 004804 EDSON SILVA                             Sim       PSB       Ceará                    98 
CD01O314E 004804 EUDES XAVIER                            Sim       PT        Ceará                    91 
CD01O314E 004804 GENECIAS NORONHA                        Sim       PMDB      Ceará                    99 
CD01O314E 004804 GORETE PEREIRA                          Sim       PR        Ceará                    100
CD01O314E 004804 JOÃO ANANIAS                            Sim       PCdoB     Ceará                    106
CD01O314E 004804 JOSÉ GUIMARÃES                          Sim       PT        Ceará                    103
CD01O314E 004804 JOSÉ LINHARES                           Sim       PP        Ceará                    96 
CD01O314E 004804 MANOEL SALVIANO                         Sim       PSD       Ceará                    104
CD01O314E 004804 MAURO BENEVIDES                         Sim       PMDB      Ceará                    105
CD01O314E 004804 RAIMUNDÃO                               Sim       PMDB      Ceará                    108
CD01O314E 004804 VICENTE ARRUDA                          Sim       PR        Ceará                    107
CD01O314E 004804 ASSIS CARVALHO                          Sim       PT        Piauí                    111
CD01O314E 004804 HUGO NAPOLEÃO                           Sim       PSD       Piauí                    112
CD01O314E 004804 IRACEMA PORTELLA                        Sim       PP        Piauí                    113
CD01O314E 004804 JESUS RODRIGUES                         Sim       PT        Piauí                    115
CD01O314E 004804 JÚLIO CESAR                             Sim       PSD       Piauí                    114
CD01O314E 004804 MARCELO CASTRO                          Sim       PMDB      Piauí                    110
CD01O314E 004804 OSMAR JÚNIOR                            Sim       PCdoB     Piauí                    116
CD01O314E 004804 PAES LANDIM                             Sim       PTB       Piauí                    118
CD01O314E 004804 FÁBIO FARIA                             Sim       PSD       Rio Grande do Norte      119
CD01O314E 004804 FÁTIMA BEZERRA                          Sim       PT        Rio Grande do Norte      121
CD01O314E 004804 FELIPE MAIA                             Obstrução DEM       Rio Grande do Norte      120
CD01O314E 004804 HENRIQUE EDUARDO ALVES                  Sim       PMDB      Rio Grande do Norte      123
CD01O314E 004804 PAULO WAGNER                            Sim       PV        Rio Grande do Norte      126
CD01O314E 004804 SANDRA ROSADO                           Sim       PSB       Rio Grande do Norte      125
CD01O314E 004804 AGUINALDO RIBEIRO                       Sim       PP        Paraíba                  129
CD01O314E 004804 HUGO MOTTA                              Sim       PMDB      Paraíba                  132
CD01O314E 004804 LUIZ COUTO                              Sim       PT        Paraíba                  133
CD01O314E 004804 NILDA GONDIM                            Sim       PMDB      Paraíba                  134
CD01O314E 004804 ROMERO RODRIGUES                        Obstrução PSDB      Paraíba                  135
CD01O314E 004804 WELLINGTON ROBERTO                      Sim       PR        Paraíba                  136
CD01O314E 004804 WILSON FILHO                            Sim       PMDB      Paraíba                  139
CD01O314E 004804 ANDERSON FERREIRA                       Sim       PR        Pernambuco               142
CD01O314E 004804 FERNANDO COELHO FILHO                   Sim       PSB       Pernambuco               158
CD01O314E 004804 FERNANDO FERRO                          Sim       PT        Pernambuco               141
CD01O314E 004804 GONZAGA PATRIOTA                        Sim       PSB       Pernambuco               143
CD01O314E 004804 INOCÊNCIO OLIVEIRA                      Sim       PR        Pernambuco               145
CD01O314E 004804 JOÃO PAULO  LIMA                        Sim       PT        Pernambuco               149
CD01O314E 004804 JORGE CORTE REAL                        Sim       PTB       Pernambuco               150
CD01O314E 004804 JOSÉ AUGUSTO MAIA                       Sim       PTB       Pernambuco               151
CD01O314E 004804 JOSÉ CHAVES                             Sim       PTB       Pernambuco               147
CD01O314E 004804 LUCIANA SANTOS                          Sim       PCdoB     Pernambuco               153
CD01O314E 004804 PASTOR EURICO                           Sim       PSB       Pernambuco               155
CD01O314E 004804 PAULO RUBEM SANTIAGO                    Sim       PDT       Pernambuco               554
CD01O314E 004804 PEDRO EUGÊNIO                           Sim       PT        Pernambuco               161
CD01O314E 004804 RAUL HENRY                              Sim       PMDB      Pernambuco               163
CD01O314E 004804 ROBERTO TEIXEIRA                        Sim       PP        Pernambuco               157
CD01O314E 004804 SEVERINO NINHO                          Sim       PSB       Pernambuco               580
CD01O314E 004804 SILVIO COSTA                            Sim       PTB       Pernambuco               160
CD01O314E 004804 VILALBA                                 Sim       PRB       Pernambuco               555
CD01O314E 004804 WOLNEY QUEIROZ                          Sim       PDT       Pernambuco               164
CD01O314E 004804 ARTHUR LIRA                             Sim       PP        Alagoas                  162
CD01O314E 004804 CELIA ROCHA                             Sim       PTB       Alagoas                  165
CD01O314E 004804 GIVALDO CARIMBÃO                        Sim       PSB       Alagoas                  166
CD01O314E 004804 JOAQUIM BELTRÃO                         Sim       PMDB      Alagoas                  172
CD01O314E 004804 RENAN FILHO                             Sim       PMDB      Alagoas                  169
CD01O314E 004804 HELENO SILVA                            Sim       PRB       Sergipe                  175
CD01O314E 004804 LAERCIO OLIVEIRA                        Sim       PR        Sergipe                  176
CD01O314E 004804 MÁRCIO MACÊDO                           Sim       PT        Sergipe                  177
CD01O314E 004804 VALADARES FILHO                         Sim       PSB       Sergipe                  183
CD01O314E 004804 ALICE PORTUGAL                          Sim       PCdoB     Bahia                    180
CD01O314E 004804 AMAURI TEIXEIRA                         Sim       PT        Bahia                    184
CD01O314E 004804 ANTONIO BRITO                           Sim       PTB       Bahia                    189
CD01O314E 004804 ANTONIO CARLOS MAGALHÃES NETO           Obstrução DEM       Bahia                    181
CD01O314E 004804 ANTONIO IMBASSAHY                       Não       PSDB      Bahia                    191
CD01O314E 004804 DANIEL ALMEIDA                          Sim       PCdoB     Bahia                    188
CD01O314E 004804 EDSON PIMENTA                           Sim       PSD       Bahia                    193
CD01O314E 004804 EMILIANO JOSÉ                           Sim       PT        Bahia                    523
CD01O314E 004804 FÁBIO SOUTO                             Obstrução DEM       Bahia                    190
CD01O314E 004804 FELIX MENDONÇA JÚNIOR                   Sim       PDT       Bahia                    195
CD01O314E 004804 GERALDO SIMÕES                          Sim       PT        Bahia                    185
CD01O314E 004804 JÂNIO NATAL                             Sim       PRP       Bahia                    198
CD01O314E 004804 JOÃO CARLOS BACELAR                     Sim       PR        Bahia                    187
CD01O314E 004804 JOSÉ CARLOS ARAÚJO                      Sim       PSD       Bahia                    197
CD01O314E 004804 JOSÉ NUNES                              Sim       PSD       Bahia                    201
CD01O314E 004804 JOSÉ ROCHA                              Sim       PR        Bahia                    203
CD01O314E 004804 JOSEPH BANDEIRA                         Sim       PT        Bahia                    565
CD01O314E 004804 JOSIAS GOMES                            Sim       PT        Bahia                    202
CD01O314E 004804 LUIZ ALBERTO                            Sim       PT        Bahia                    204
CD01O314E 004804 MÁRCIO MARINHO                          Sim       PRB       Bahia                    212
CD01O314E 004804 MARCOS MEDRADO                          Sim       PDT       Bahia                    200
CD01O314E 004804 MAURÍCIO TRINDADE                       Sim       PR        Bahia                    208
CD01O314E 004804 NELSON PELLEGRINO                       Sim       PT        Bahia                    209
CD01O314E 004804 OZIEL OLIVEIRA                          Sim       PDT       Bahia                    215
CD01O314E 004804 PAULO MAGALHÃES                         Sim       PSD       Bahia                    214
CD01O314E 004804 ROBERTO BRITTO                          Sim       PP        Bahia                    211
CD01O314E 004804 RUI COSTA                               Sim       PT        Bahia                    216
CD01O314E 004804 SÉRGIO BARRADAS CARNEIRO                Sim       PT        Bahia                    524
CD01O314E 004804 VALMIR ASSUNÇÃO                         Sim       PT        Bahia                    218
CD01O314E 004804 WALDENOR PEREIRA                        Sim       PT        Bahia                    219
CD01O314E 004804 ADEMIR CAMILO                           Sim       PSD       Minas Gerais             220
CD01O314E 004804 AELTON FREITAS                          Sim       PR        Minas Gerais             224
CD01O314E 004804 ANTÔNIO ANDRADE                         Sim       PMDB      Minas Gerais             227
CD01O314E 004804 ARACELY DE PAULA                        Sim       PR        Minas Gerais             223
CD01O314E 004804 BERNARDO SANTANA DE VASCONCELLO         Sim       PR        Minas Gerais             221
CD01O314E 004804 CARLAILE PEDROSA                        Obstrução PSDB      Minas Gerais             222
CD01O314E 004804 DIEGO ANDRADE                           Sim       PSD       Minas Gerais             228
CD01O314E 004804 DIMAS FABIANO                           Sim       PP        Minas Gerais             231
CD01O314E 004804 EDUARDO AZEREDO                         Não       PSDB      Minas Gerais             237
CD01O314E 004804 EROS BIONDINI                           Sim       PTB       Minas Gerais             242
CD01O314E 004804 FÁBIO RAMALHO                           Sim       PV        Minas Gerais             238
CD01O314E 004804 GABRIEL GUIMARÃES                       Sim       PT        Minas Gerais             244
CD01O314E 004804 GERALDO THADEU                          Sim       PSD       Minas Gerais             236
CD01O314E 004804 GILMAR MACHADO                          Sim       PT        Minas Gerais             234
CD01O314E 004804 JAIME MARTINS                           Sim       PR        Minas Gerais             240
CD01O314E 004804 JAIRO ATAIDE                            Obstrução DEM       Minas Gerais             533
CD01O314E 004804 JÔ MORAES                               Sim       PCdoB     Minas Gerais             246
CD01O314E 004804 JOÃO BITTAR                             Obstrução DEM       Minas Gerais             531
CD01O314E 004804 JOÃO MAGALHÃES                          Sim       PMDB      Minas Gerais             239
CD01O314E 004804 JOSÉ HUMBERTO                           Sim       PHS       Minas Gerais             249
CD01O314E 004804 JÚLIO DELGADO                           Sim       PSB       Minas Gerais             250
CD01O314E 004804 LEONARDO MONTEIRO                       Sim       PT        Minas Gerais             253
CD01O314E 004804 LINCOLN PORTELA                         Sim       PR        Minas Gerais             243
CD01O314E 004804 MARCOS MONTES                           Sim       PSD       Minas Gerais             257
CD01O314E 004804 MÁRIO DE OLIVEIRA                       Sim       PSC       Minas Gerais             260
CD01O314E 004804 MAURO LOPES                             Sim       PMDB      Minas Gerais             252
CD01O314E 004804 MIGUEL CORRÊA                           Sim       PT        Minas Gerais             261
CD01O314E 004804 NEWTON CARDOSO                          Não       PMDB      Minas Gerais             258
CD01O314E 004804 ODAIR CUNHA                             Sim       PT        Minas Gerais             269
CD01O314E 004804 PADRE JOÃO                              Sim       PT        Minas Gerais             259
CD01O314E 004804 PAULO ABI-ACKEL                         Obstrução PSDB      Minas Gerais             263
CD01O314E 004804 PAULO PIAU                              Sim       PMDB      Minas Gerais             266
CD01O314E 004804 REGINALDO LOPES                         Sim       PT        Minas Gerais             272
CD01O314E 004804 RENZO BRAZ                              Sim       PP        Minas Gerais             262
CD01O314E 004804 SARAIVA FELIPE                          Sim       PMDB      Minas Gerais             265
CD01O314E 004804 TONINHO PINHEIRO                        Sim       PP        Minas Gerais             264
CD01O314E 004804 VITOR PENIDO                            Não       DEM       Minas Gerais             532
CD01O314E 004804 WALTER TOSTA                            Sim       PSD       Minas Gerais             267
CD01O314E 004804 WELITON PRADO                           Sim       PT        Minas Gerais             270
CD01O314E 004804 ZÉ SILVA                                Sim       PDT       Minas Gerais             271
CD01O314E 004804 AUDIFAX                                 Sim       PSB       Espírito Santo           274
CD01O314E 004804 CAMILO COLA                             Sim       PMDB      Espírito Santo           543
CD01O314E 004804 CESAR COLNAGO                           Obstrução PSDB      Espírito Santo           276
CD01O314E 004804 DR. JORGE SILVA                         Sim       PDT       Espírito Santo           278
CD01O314E 004804 LAURIETE                                Sim       PSC       Espírito Santo           279
CD01O314E 004804 LELO COIMBRA                            Sim       PMDB      Espírito Santo           277
CD01O314E 004804 MANATO                                  Sim       PDT       Espírito Santo           275
CD01O314E 004804 PAULO FOLETTO                           Sim       PSB       Espírito Santo           280
CD01O314E 004804 SUELI VIDIGAL                           Sim       PDT       Espírito Santo           281
