CD01O314E 004805 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O314E 004805 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O314E 004805 FRANCISCO ARAÚJO                        Não       PSD       Roraima                  570
CD01O314E 004805 JHONATAN DE JESUS                       Não       PRB       Roraima                  5  
CD01O314E 004805 LUCIANO CASTRO                          Não       PR        Roraima                  4  
CD01O314E 004805 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O314E 004805 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O314E 004805 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O314E 004805 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O314E 004805 JANETE CAPIBERIBE                       Não       PSB       Amapá                    572
CD01O314E 004805 SEBASTIÃO BALA ROCHA                    Não       PDT       Amapá                    17 
CD01O314E 004805 VINICIUS GURGEL                         Não       PR        Amapá                    16 
CD01O314E 004805 ASDRUBAL BENTES                         Não       PMDB      Pará                     20 
CD01O314E 004805 BETO FARO                               Não       PT        Pará                     19 
CD01O314E 004805 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O314E 004805 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O314E 004805 GIOVANNI QUEIROZ                        Não       PDT       Pará                     27 
CD01O314E 004805 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD01O314E 004805 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD01O314E 004805 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O314E 004805 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O314E 004805 WLADIMIR COSTA                          Não       PMDB      Pará                     23 
CD01O314E 004805 ZÉ GERALDO                              Não       PT        Pará                     25 
CD01O314E 004805 ZEQUINHA MARINHO                        Não       PSC       Pará                     33 
CD01O314E 004805 ÁTILA LINS                              Não       PSD       Amazonas                 38 
CD01O314E 004805 CARLOS SOUZA                            Não       PSD       Amazonas                 37 
CD01O314E 004805 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O314E 004805 HENRIQUE OLIVEIRA                       Não       PR        Amazonas                 36 
CD01O314E 004805 REBECCA GARCIA                          Não       PP        Amazonas                 42 
CD01O314E 004805 SABINO CASTELO BRANCO                   Sim       PTB       Amazonas                 43 
CD01O314E 004805 SILAS CÂMARA                            Não       PSD       Amazonas                 39 
CD01O314E 004805 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O314E 004805 LINDOMAR GARÇON                         Não       PV        Rondonia                 45 
CD01O314E 004805 MARINHA RAUPP                           Não       PMDB      Rondonia                 50 
CD01O314E 004805 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O314E 004805 MOREIRA MENDES                          Não       PSD       Rondonia                 49 
CD01O314E 004805 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O314E 004805 NILTON CAPIXABA                         Não       PTB       Rondonia                 47 
CD01O314E 004805 PADRE TON                               Não       PT        Rondonia                 48 
CD01O314E 004805 ANTÔNIA LÚCIA                           Não       PSC       Acre                     53 
CD01O314E 004805 FLAVIANO MELO                           Não       PMDB      Acre                     54 
CD01O314E 004805 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O314E 004805 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O314E 004805 TAUMATURGO LIMA                         Não       PT        Acre                     59 
CD01O314E 004805 ÂNGELO AGNOLIN                          Não       PDT       Tocantins                61 
CD01O314E 004805 CÉSAR HALUM                             Não       PSD       Tocantins                64 
CD01O314E 004805 IRAJÁ ABREU                             Não       PSD       Tocantins                65 
CD01O314E 004805 JÚNIOR COIMBRA                          Não       PMDB      Tocantins                66 
CD01O314E 004805 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O314E 004805 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O314E 004805 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O314E 004805 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O314E 004805 CLEBER VERDE                            Não       PRB       Maranhão                 70 
CD01O314E 004805 COSTA FERREIRA                          Não       PSC       Maranhão                 571
CD01O314E 004805 DOMINGOS DUTRA                          Não       PT        Maranhão                 72 
