CD01O317E 004814 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O317E 004814 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O317E 004814 FRANCISCO ARAÚJO                        Não       PSD       Roraima                  570
CD01O317E 004814 JHONATAN DE JESUS                       Não       PRB       Roraima                  5  
CD01O317E 004814 LUCIANO CASTRO                          Não       PR        Roraima                  4  
CD01O317E 004814 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O317E 004814 RAUL LIMA                               Não       PSD       Roraima                  7  
CD01O317E 004814 TERESA SURITA                           Não       PMDB      Roraima                  8  
CD01O317E 004814 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O317E 004814 DAVI ALCOLUMBRE                         Obstrução DEM       Amapá                    10 
CD01O317E 004814 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O317E 004814 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O317E 004814 JANETE CAPIBERIBE                       Não       PSB       Amapá                    572
CD01O317E 004814 LUIZ CARLOS                             Obstrução PSDB      Amapá                    14 
CD01O317E 004814 SEBASTIÃO BALA ROCHA                    Não       PDT       Amapá                    17 
CD01O317E 004814 VINICIUS GURGEL                         Não       PR        Amapá                    16 
CD01O317E 004814 ARNALDO JORDY                           Obstrução PPS       Pará                     18 
CD01O317E 004814 ASDRUBAL BENTES                         Não       PMDB      Pará                     20 
CD01O317E 004814 BETO FARO                               Não       PT        Pará                     19 
CD01O317E 004814 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O317E 004814 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O317E 004814 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD01O317E 004814 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD01O317E 004814 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O317E 004814 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O317E 004814 WANDENKOLK GONÇALVES                    Obstrução PSDB      Pará                     32 
CD01O317E 004814 WLADIMIR COSTA                          Não       PMDB      Pará                     23 
CD01O317E 004814 ÁTILA LINS                              Não       PSD       Amazonas                 38 
CD01O317E 004814 CARLOS SOUZA                            Não       PSD       Amazonas                 37 
CD01O317E 004814 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O317E 004814 PAUDERNEY AVELINO                       Sim       DEM       Amazonas                 40 
CD01O317E 004814 REBECCA GARCIA                          Não       PP        Amazonas                 42 
CD01O317E 004814 SABINO CASTELO BRANCO                   Sim       PTB       Amazonas                 43 
CD01O317E 004814 SILAS CÂMARA                            Não       PSD       Amazonas                 39 
CD01O317E 004814 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O317E 004814 LINDOMAR GARÇON                         Não       PV        Rondonia                 45 
CD01O317E 004814 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O317E 004814 NILTON CAPIXABA                         Não       PTB       Rondonia                 47 
CD01O317E 004814 GLADSON CAMELI                          Não       PP        Acre                     55 
CD01O317E 004814 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O317E 004814 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O317E 004814 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O317E 004814 CÉSAR HALUM                             Não       PSD       Tocantins                64 
CD01O317E 004814 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O317E 004814 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O317E 004814 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O317E 004814 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O317E 004814 CLEBER VERDE                            Não       PRB       Maranhão                 70 
CD01O317E 004814 DAVI ALVES SILVA JÚNIOR                 Não       PR        Maranhão                 528
CD01O317E 004814 DOMINGOS DUTRA                          Não       PT        Maranhão                 72 
CD01O317E 004814 EDIVALDO HOLANDA JUNIOR                 Não       PTC       Maranhão                 73 
CD01O317E 004814 FRANCISCO ESCÓRCIO                      Não       PMDB      Maranhão                 567
CD01O317E 004814 HÉLIO SANTOS                            Não       PSD       Maranhão                 76 
CD01O317E 004814 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O317E 004814 PEDRO NOVAIS                            Não       PMDB      Maranhão                 82 
CD01O317E 004814 PROFESSOR SETIMO                        Não       PMDB      Maranhão                 81 
CD01O317E 004814 RIBAMAR ALVES                           Não       PSB       Maranhão                 74 
CD01O317E 004814 SARNEY FILHO                            Não       PV        Maranhão                 85 
CD01O317E 004814 WALDIR MARANHÃO                         Não       PP        Maranhão                 84 
CD01O317E 004814 WEVERTON ROCHA                          Não       PDT       Maranhão                 579
CD01O317E 004814 ANDRÉ FIGUEIREDO                        Não       PDT       Ceará                    89 
CD01O317E 004814 ANTONIO BALHMANN                        Não       PSB       Ceará                    93 
CD01O317E 004814 ARIOSTO HOLANDA                         Não       PSB       Ceará                    92 
CD01O317E 004814 ARNON BEZERRA                           Não       PTB       Ceará                    90 
CD01O317E 004814 ARTUR BRUNO                             Não       PT        Ceará                    94 
CD01O317E 004814 CHICO LOPES                             Não       PCdoB     Ceará                    88 
CD01O317E 004814 DANILO FORTE                            Não       PMDB      Ceará                    95 
CD01O317E 004814 DOMINGOS NETO                           Não       PSB       Ceará                    97 
CD01O317E 004814 EDSON SILVA                             Não       PSB       Ceará                    98 
CD01O317E 004814 EUDES XAVIER                            Não       PT        Ceará                    91 
CD01O317E 004814 GENECIAS NORONHA                        Não       PMDB      Ceará                    99 
CD01O317E 004814 JOÃO ANANIAS                            Não       PCdoB     Ceará                    106
CD01O317E 004814 JOSÉ GUIMARÃES                          Não       PT        Ceará                    103
CD01O317E 004814 MANOEL SALVIANO                         Não       PSD       Ceará                    104
CD01O317E 004814 MAURO BENEVIDES                         Não       PMDB      Ceará                    105
CD01O317E 004814 RAIMUNDÃO                               Não       PMDB      Ceará                    108
CD01O317E 004814 VICENTE ARRUDA                          Não       PR        Ceará                    107
CD01O317E 004814 ASSIS CARVALHO                          Não       PT        Piauí                    111
CD01O317E 004814 IRACEMA PORTELLA                        Não       PP        Piauí                    113
CD01O317E 004814 JÚLIO CESAR                             Não       PSD       Piauí                    114
CD01O317E 004814 MARCELO CASTRO                          Não       PMDB      Piauí                    110
CD01O317E 004814 NAZARENO FONTELES                       Não       PT        Piauí                    530
CD01O317E 004814 PAES LANDIM                             Não       PTB       Piauí                    118
CD01O317E 004814 FELIPE MAIA                             Obstrução DEM       Rio Grande do Norte      120
CD01O317E 004814 JOÃO MAIA                               Não       PR        Rio Grande do Norte      124
CD01O317E 004814 PAULO WAGNER                            Não       PV        Rio Grande do Norte      126
CD01O317E 004814 ROGÉRIO MARINHO                         Sim       PSDB      Rio Grande do Norte      540
CD01O317E 004814 SANDRA ROSADO                           Não       PSB       Rio Grande do Norte      125
CD01O317E 004814 BENJAMIN MARANHÃO                       Não       PMDB      Paraíba                  131
CD01O317E 004814 HUGO MOTTA                              Não       PMDB      Paraíba                  132
CD01O317E 004814 LUIZ COUTO                              Não       PT        Paraíba                  133
CD01O317E 004814 MANOEL JUNIOR                           Não       PMDB      Paraíba                  130
CD01O317E 004814 NILDA GONDIM                            Não       PMDB      Paraíba                  134
CD01O317E 004814 ROMERO RODRIGUES                        Obstrução PSDB      Paraíba                  135
CD01O317E 004814 RUY CARNEIRO                            Obstrução PSDB      Paraíba                  137
CD01O317E 004814 WELLINGTON ROBERTO                      Não       PR        Paraíba                  136
CD01O317E 004814 FERNANDO COELHO FILHO                   Não       PSB       Pernambuco               158
CD01O317E 004814 FERNANDO FERRO                          Não       PT        Pernambuco               141
CD01O317E 004814 INOCÊNCIO OLIVEIRA                      Não       PR        Pernambuco               145
CD01O317E 004814 JOÃO PAULO  LIMA                        Não       PT        Pernambuco               149
CD01O317E 004814 JORGE CORTE REAL                        Não       PTB       Pernambuco               150
CD01O317E 004814 JOSÉ AUGUSTO MAIA                       Não       PTB       Pernambuco               151
CD01O317E 004814 LUCIANA SANTOS                          Não       PCdoB     Pernambuco               153
CD01O317E 004814 MENDONÇA FILHO                          Sim       DEM       Pernambuco               154
CD01O317E 004814 PASTOR EURICO                           Não       PSB       Pernambuco               155
CD01O317E 004814 PAULO RUBEM SANTIAGO                    Não       PDT       Pernambuco               554
CD01O317E 004814 PEDRO EUGÊNIO                           Não       PT        Pernambuco               161
CD01O317E 004814 RAUL HENRY                              Não       PMDB      Pernambuco               163
CD01O317E 004814 ROBERTO TEIXEIRA                        Não       PP        Pernambuco               157
CD01O317E 004814 SEVERINO NINHO                          Não       PSB       Pernambuco               580
CD01O317E 004814 SILVIO COSTA                            Não       PTB       Pernambuco               160
CD01O317E 004814 VILALBA                                 Não       PRB       Pernambuco               555
CD01O317E 004814 WOLNEY QUEIROZ                          Não       PDT       Pernambuco               164
CD01O317E 004814 ARTHUR LIRA                             Não       PP        Alagoas                  162
CD01O317E 004814 CELIA ROCHA                             Não       PTB       Alagoas                  165
CD01O317E 004814 GIVALDO CARIMBÃO                        Não       PSB       Alagoas                  166
CD01O317E 004814 RENAN FILHO                             Não       PMDB      Alagoas                  169
CD01O317E 004814 RUI PALMEIRA                            Sim       PSDB      Alagoas                  171
CD01O317E 004814 ALMEIDA LIMA                            Sim       PPS       Sergipe                  173
CD01O317E 004814 ANDRE MOURA                             Não       PSC       Sergipe                  174
CD01O317E 004814 HELENO SILVA                            Não       PRB       Sergipe                  175
CD01O317E 004814 LAERCIO OLIVEIRA                        Não       PR        Sergipe                  176
CD01O317E 004814 MÁRCIO MACÊDO                           Não       PT        Sergipe                  177
CD01O317E 004814 ROGÉRIO CARVALHO                        Não       PT        Sergipe                  178
