CD01O330E 004823 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O330E 004823 EDIO LOPES                              Não       PMDB      Roraima                  2  
CD01O330E 004823 JHONATAN DE JESUS                       Não       PRB       Roraima                  5  
CD01O330E 004823 LUCIANO CASTRO                          Não       PR        Roraima                  4  
CD01O330E 004823 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O330E 004823 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O330E 004823 FÁTIMA PELAES                           Não       PMDB      Amapá                    12 
CD01O330E 004823 BETO FARO                               Não       PT        Pará                     19 
CD01O330E 004823 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O330E 004823 GIOVANNI QUEIROZ                        Não       PDT       Pará                     27 
CD01O330E 004823 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD01O330E 004823 LIRA MAIA                               Obstrução DEM       Pará                     28 
CD01O330E 004823 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O330E 004823 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O330E 004823 ZÉ GERALDO                              Não       PT        Pará                     25 
CD01O330E 004823 ZEQUINHA MARINHO                        Não       PSC       Pará                     33 
CD01O330E 004823 ÁTILA LINS                              Não       PSD       Amazonas                 38 
CD01O330E 004823 CARLOS SOUZA                            Não       PSD       Amazonas                 37 
CD01O330E 004823 FRANCISCO PRACIANO                      Não       PT        Amazonas                 41 
CD01O330E 004823 HENRIQUE OLIVEIRA                       Não       PR        Amazonas                 36 
CD01O330E 004823 PAUDERNEY AVELINO                       Obstrução DEM       Amazonas                 40 
CD01O330E 004823 REBECCA GARCIA                          Não       PP        Amazonas                 42 
CD01O330E 004823 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O330E 004823 MARCOS ROGÉRIO                          Não       PDT       Rondonia                 583
CD01O330E 004823 MARINHA RAUPP                           Não       PMDB      Rondonia                 50 
CD01O330E 004823 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O330E 004823 MOREIRA MENDES                          Obstrução PSD       Rondonia                 49 
CD01O330E 004823 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O330E 004823 PADRE TON                               Não       PT        Rondonia                 48 
CD01O330E 004823 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O330E 004823 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O330E 004823 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O330E 004823 ÂNGELO AGNOLIN                          Não       PDT       Tocantins                61 
CD01O330E 004823 LAUREZ MOREIRA                          Não       PSB       Tocantins                62 
CD01O330E 004823 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O330E 004823 COSTA FERREIRA                          Não       PSC       Maranhão                 571
CD01O330E 004823 DAVI ALVES SILVA JÚNIOR                 Não       PR        Maranhão                 528
CD01O330E 004823 DOMINGOS DUTRA                          Não       PT        Maranhão                 72 
CD01O330E 004823 EDIVALDO HOLANDA JUNIOR                 Não       PTC       Maranhão                 73 
CD01O330E 004823 FRANCISCO ESCÓRCIO                      Não       PMDB      Maranhão                 567
CD01O330E 004823 HÉLIO SANTOS                            Não       PSD       Maranhão                 76 
CD01O330E 004823 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O330E 004823 PEDRO NOVAIS                            Não       PMDB      Maranhão                 82 
CD01O330E 004823 RIBAMAR ALVES                           Não       PSB       Maranhão                 74 
CD01O330E 004823 WALDIR MARANHÃO                         Não       PP        Maranhão                 84 
CD01O330E 004823 WEVERTON ROCHA                          Não       PDT       Maranhão                 579
