CD03O030O 005228 GENECIAS NORONHA                        Sim       PMDB      Ceará                    99 
CD03O030O 005228 GORETE PEREIRA                          Sim       PR        Ceará                    100
CD03O030O 005228 JOÃO ANANIAS                            Sim       PCdoB     Ceará                    106
CD03O030O 005228 JOSÉ AIRTON                             Sim       PT        Ceará                    101
CD03O030O 005228 JOSÉ GUIMARÃES                          Sim       PT        Ceará                    103
CD03O030O 005228 JOSÉ LINHARES                           Sim       PP        Ceará                    96 
CD03O030O 005228 MÁRIO FEITOZA                           Sim       PMDB      Ceará                    590
CD03O030O 005228 MAURO BENEVIDES                         Sim       PMDB      Ceará                    105
CD03O030O 005228 RAIMUNDO GOMES DE MATOS                 Sim       PSDB      Ceará                    102
CD03O030O 005228 ASSIS CARVALHO                          Não       PT        Piauí                    111
CD03O030O 005228 HUGO NAPOLEÃO                           Sim       PSD       Piauí                    112
CD03O030O 005228 IRACEMA PORTELLA                        Sim       PP        Piauí                    113
CD03O030O 005228 JESUS RODRIGUES                         Não       PT        Piauí                    115
CD03O030O 005228 JÚLIO CESAR                             Sim       PSD       Piauí                    114
CD03O030O 005228 MARCELO CASTRO                          Sim       PMDB      Piauí                    110
CD03O030O 005228 MARLLOS SAMPAIO                         Sim       PMDB      Piauí                    117
CD03O030O 005228 NAZARENO FONTELES                       Não       PT        Piauí                    530
CD03O030O 005228 OSMAR JÚNIOR                            Sim       PCdoB     Piauí                    116
CD03O030O 005228 PAES LANDIM                             Não       PTB       Piauí                    118
CD03O030O 005228 FÁTIMA BEZERRA                          Sim       PT        Rio Grande do Norte      121
CD03O030O 005228 FELIPE MAIA                             Sim       DEM       Rio Grande do Norte      120
CD03O030O 005228 PAULO WAGNER                            Sim       PV        Rio Grande do Norte      126
CD03O030O 005228 SANDRA ROSADO                           Sim       PSB       Rio Grande do Norte      125
CD03O030O 005228 BENJAMIN MARANHÃO                       Sim       PMDB      Paraíba                  131
CD03O030O 005228 HUGO MOTTA                              Sim       PMDB      Paraíba                  132
CD03O030O 005228 LEONARDO GADELHA                        Sim       PSC       Paraíba                  586
CD03O030O 005228 LUIZ COUTO                              Não       PT        Paraíba                  133
CD03O030O 005228 MAJOR FÁBIO                             Sim       DEM       Paraíba                  599
CD03O030O 005228 NILDA GONDIM                            Sim       PMDB      Paraíba                  134
CD03O030O 005228 RUY CARNEIRO                            Sim       PSDB      Paraíba                  137
CD03O030O 005228 WELLINGTON ROBERTO                      Sim       PR        Paraíba                  136
CD03O030O 005228 WILSON FILHO                            Sim       PMDB      Paraíba                  139
CD03O030O 005228 ANDERSON FERREIRA                       Sim       PR        Pernambuco               142
CD03O030O 005228 AUGUSTO COUTINHO                        Sim       DEM       Pernambuco               144
CD03O030O 005228 CARLOS EDUARDO CADOCA                   Sim       PSC       Pernambuco               152
CD03O030O 005228 EDUARDO DA FONTE                        Sim       PP        Pernambuco               156
CD03O030O 005228 FERNANDO FERRO                          Sim       PT        Pernambuco               141
CD03O030O 005228 GONZAGA PATRIOTA                        Sim       PSB       Pernambuco               143
CD03O030O 005228 INOCÊNCIO OLIVEIRA                      Sim       PR        Pernambuco               145
CD03O030O 005228 JOÃO PAULO  LIMA                        Não       PT        Pernambuco               149
CD03O030O 005228 JORGE CORTE REAL                        Sim       PTB       Pernambuco               150
CD03O030O 005228 JOSÉ AUGUSTO MAIA                       Sim       PTB       Pernambuco               151
CD03O030O 005228 JOSÉ CHAVES                             Sim       PTB       Pernambuco               147
CD03O030O 005228 MENDONÇA FILHO                          Abstenção DEM       Pernambuco               154
CD03O030O 005228 PASTOR EURICO                           Sim       PSB       Pernambuco               155
CD03O030O 005228 PAULO RUBEM SANTIAGO                    Sim       PDT       Pernambuco               554
CD03O030O 005228 PEDRO EUGÊNIO                           Não       PT        Pernambuco               161
CD03O030O 005228 RAUL HENRY                              Sim       PMDB      Pernambuco               163
CD03O030O 005228 ROBERTO TEIXEIRA                        Sim       PP        Pernambuco               157
CD03O030O 005228 SEVERINO NINHO                          Não       PSB       Pernambuco               580
CD03O030O 005228 SILVIO COSTA                            Não       PTB       Pernambuco               160
CD03O030O 005228 VILALBA                                 Sim       PRB       Pernambuco               555
CD03O030O 005228 WOLNEY QUEIROZ                          Não       PDT       Pernambuco               164
CD03O030O 005228 ALEXANDRE TOLEDO                        Sim       PSDB      Alagoas                  596
CD03O030O 005228 FRANCISCO TENÓRIO                       Sim       PMN       Alagoas                  607
CD03O030O 005228 GIVALDO CARIMBÃO                        Sim       PSB       Alagoas                  166
CD03O030O 005228 MAURÍCIO QUINTELLA LESSA                Sim       PR        Alagoas                  168
CD03O030O 005228 PAULÃO                                  Sim       PT        Alagoas                  608
CD03O030O 005228 RENAN FILHO                             Sim       PMDB      Alagoas                  169
CD03O030O 005228 ROSINHA DA ADEFAL                       Sim       PTdoB     Alagoas                  170
CD03O030O 005228 ANDRE MOURA                             Sim       PSC       Sergipe                  174
CD03O030O 005228 FABIO REIS                              Sim       PMDB      Sergipe                  619
CD03O030O 005228 LAERCIO OLIVEIRA                        Sim       PR        Sergipe                  176
CD03O030O 005228 MÁRCIO MACÊDO                           Sim       PT        Sergipe                  177
CD03O030O 005228 MENDONÇA PRADO                          Sim       DEM       Sergipe                  179
CD03O030O 005228 ROGÉRIO CARVALHO                        Não       PT        Sergipe                  178
CD03O030O 005228 VALADARES FILHO                         Sim       PSB       Sergipe                  183
CD03O030O 005228 ACELINO POPÓ                            Sim       PRB       Bahia                    522
CD03O030O 005228 ALICE PORTUGAL                          Sim       PCdoB     Bahia                    180
CD03O030O 005228 AMAURI TEIXEIRA                         Sim       PT        Bahia                    184
CD03O030O 005228 ANTONIO BRITO                           Sim       PTB       Bahia                    189
CD03O030O 005228 ANTONIO IMBASSAHY                       Sim       PSDB      Bahia                    191
CD03O030O 005228 CLAUDIO CAJADO                          Sim       DEM       Bahia                    186
CD03O030O 005228 COLBERT MARTINS                         Sim       PMDB      Bahia                    622
CD03O030O 005228 DANIEL ALMEIDA                          Sim       PCdoB     Bahia                    188
CD03O030O 005228 EDSON PIMENTA                           Sim       PSD       Bahia                    193
CD03O030O 005228 ERIVELTON SANTANA                       Sim       PSC       Bahia                    194
CD03O030O 005228 FÁBIO SOUTO                             Sim       DEM       Bahia                    190
CD03O030O 005228 FELIX MENDONÇA JÚNIOR                   Sim       PDT       Bahia                    195
CD03O030O 005228 GERALDO SIMÕES                          Sim       PT        Bahia                    185
CD03O030O 005228 JÂNIO NATAL                             Sim       PRP       Bahia                    198
CD03O030O 005228 JOÃO LEÃO                               Sim       PP        Bahia                    199
CD03O030O 005228 JOSÉ CARLOS ARAÚJO                      Sim       PSD       Bahia                    197
CD03O030O 005228 JOSÉ NUNES                              Sim       PSD       Bahia                    201
CD03O030O 005228 JOSÉ ROCHA                              Sim       PR        Bahia                    203
CD03O030O 005228 JUTAHY JUNIOR                           Sim       PSDB      Bahia                    206
CD03O030O 005228 LUCIO VIEIRA LIMA                       Sim       PMDB      Bahia                    205
CD03O030O 005228 LUIZ ALBERTO                            Sim       PT        Bahia                    204
CD03O030O 005228 LUIZ DE DEUS                            Sim       DEM       Bahia                    609
CD03O030O 005228 MARCELO GUIMARÃES FILHO                 Sim       PMDB      Bahia                    627
CD03O030O 005228 MÁRCIO MARINHO                          Sim       PRB       Bahia                    212
CD03O030O 005228 MARCOS MEDRADO                          Sim       PDT       Bahia                    200
CD03O030O 005228 MÁRIO NEGROMONTE                        Sim       PP        Bahia                    210
CD03O030O 005228 NELSON PELLEGRINO                       Sim       PT        Bahia                    209
CD03O030O 005228 OZIEL OLIVEIRA                          Sim       PDT       Bahia                    215
CD03O030O 005228 PAULO MAGALHÃES                         Sim       PSD       Bahia                    214
CD03O030O 005228 ROBERTO BRITTO                          Sim       PP        Bahia                    211
CD03O030O 005228 SÉRGIO BRITO                            Sim       PSD       Bahia                    213
