CD03O038O 005235 CHICO DAS VERDURAS                      Abstenção PRP       Roraima                  3
CD03O038O 005235 MANOEL SALVIANO                         Sim       PSD       Ceará                    104
CD03O038O 005235 MÁRIO FEITOZA                           Sim       PMDB      Ceará                    590
CD03O038O 005235 RAIMUNDO GOMES DE MATOS                 Sim       PSDB      Ceará                    102
CD03O038O 005235 VICENTE ARRUDA                          Sim       PR        Ceará                    107
CD03O038O 005235 ASSIS CARVALHO                          Sim       PT        Piauí                    111
CD03O038O 005235 HUGO NAPOLEÃO                           Sim       PSD       Piauí                    112
CD03O038O 005235 JESUS RODRIGUES                         Sim       PT        Piauí                    115
CD03O038O 005235 JÚLIO CESAR                             Sim       PSD       Piauí                    114
CD03O038O 005235 MARCELO CASTRO                          Sim       PMDB      Piauí                    110
CD03O038O 005235 MARLLOS SAMPAIO                         Sim       PMDB      Piauí                    117
CD03O038O 005235 NAZARENO FONTELES                       Sim       PT        Piauí                    530
CD03O038O 005235 PAES LANDIM                             Sim       PTB       Piauí                    118
CD03O038O 005235 FÁBIO FARIA                             Sim       PSD       Rio Grande do Norte      119
CD03O038O 005235 FÁTIMA BEZERRA                          Sim       PT        Rio Grande do Norte      121
CD03O038O 005235 FELIPE MAIA                             Obstrução DEM       Rio Grande do Norte      120
CD03O038O 005235 HENRIQUE EDUARDO ALVES                  Art. 17   PMDB      Rio Grande do Norte      123
CD03O038O 005235 JOÃO MAIA                               Sim       PR        Rio Grande do Norte      124
CD03O038O 005235 PAULO WAGNER                            Sim       PV        Rio Grande do Norte      126
CD03O038O 005235 BENJAMIN MARANHÃO                       Sim       PMDB      Paraíba                  131
CD03O038O 005235 DAMIÃO FELICIANO                        Sim       PDT       Paraíba                  127
CD03O038O 005235 LEONARDO GADELHA                        Sim       PSC       Paraíba                  586
CD03O038O 005235 LUIZ COUTO                              Sim       PT        Paraíba                  133
CD03O038O 005235 MAJOR FÁBIO                             Obstrução DEM       Paraíba                  599
CD03O038O 005235 MANOEL JUNIOR                           Sim       PMDB      Paraíba                  130
CD03O038O 005235 RUY CARNEIRO                            Sim       PSDB      Paraíba                  137
CD03O038O 005235 WELLINGTON ROBERTO                      Sim       PR        Paraíba                  136
CD03O038O 005235 WILSON FILHO                            Sim       PMDB      Paraíba                  139
CD03O038O 005235 ANDERSON FERREIRA                       Sim       PR        Pernambuco               142
CD03O038O 005235 AUGUSTO COUTINHO                        Obstrução DEM       Pernambuco               144
CD03O038O 005235 CARLOS EDUARDO CADOCA                   Sim       PSC       Pernambuco               152
CD03O038O 005235 FERNANDO FERRO                          Sim       PT        Pernambuco               141
CD03O038O 005235 INOCÊNCIO OLIVEIRA                      Sim       PR        Pernambuco               145
CD03O038O 005235 JOÃO PAULO  LIMA                        Sim       PT        Pernambuco               149
CD03O038O 005235 JOSÉ AUGUSTO MAIA                       Sim       PTB       Pernambuco               151
CD03O038O 005235 LUCIANA SANTOS                          Sim       PCdoB     Pernambuco               153
CD03O038O 005235 MENDONÇA FILHO                          Obstrução DEM       Pernambuco               154
CD03O038O 005235 PASTOR EURICO                           Sim       PSB       Pernambuco               155
CD03O038O 005235 PAULO RUBEM SANTIAGO                    Sim       PDT       Pernambuco               554
CD03O038O 005235 RAUL HENRY                              Sim       PMDB      Pernambuco               163
CD03O038O 005235 SERGIO GUERRA                           Sim       PSDB      Pernambuco               159
CD03O038O 005235 SEVERINO NINHO                          Não       PSB       Pernambuco               580
CD03O038O 005235 VILALBA                                 Sim       PRB       Pernambuco               555
CD03O038O 005235 JOÃO LYRA                               Sim       PSD       Alagoas                  167
CD03O038O 005235 PAULÃO                                  Sim       PT        Alagoas                  608
CD03O038O 005235 ROSINHA DA ADEFAL                       Sim       PTdoB     Alagoas                  170
CD03O038O 005235 ALMEIDA LIMA                            Sim       PPS       Sergipe                  173
CD03O038O 005235 FABIO REIS                              Sim       PMDB      Sergipe                  619
CD03O038O 005235 LAERCIO OLIVEIRA                        Sim       PR        Sergipe                  176
CD03O038O 005235 MÁRCIO MACÊDO                           Sim       PT        Sergipe                  177
CD03O038O 005235 ROGÉRIO CARVALHO                        Sim       PT        Sergipe                  178
CD03O038O 005235 VALADARES FILHO                         Sim       PSB       Sergipe                  183
CD03O038O 005235 AFONSO FLORENCE                         Sim       PT        Bahia                    182
CD03O038O 005235 ALICE PORTUGAL                          Sim       PCdoB     Bahia                    180
CD03O038O 005235 AMAURI TEIXEIRA                         Sim       PT        Bahia                    184
CD03O038O 005235 ANTONIO BRITO                           Sim       PTB       Bahia                    189
CD03O038O 005235 ANTONIO IMBASSAHY                       Sim       PSDB      Bahia                    191
CD03O038O 005235 CLAUDIO CAJADO                          Abstenção DEM       Bahia                    186
CD03O038O 005235 COLBERT MARTINS                         Sim       PMDB      Bahia                    622
CD03O038O 005235 DANIEL ALMEIDA                          Sim       PCdoB     Bahia                    188
CD03O038O 005235 EDSON PIMENTA                           Sim       PSD       Bahia                    193
CD03O038O 005235 FÁBIO SOUTO                             Obstrução DEM       Bahia                    190
CD03O038O 005235 FELIX MENDONÇA JÚNIOR                   Sim       PDT       Bahia                    195
CD03O038O 005235 FERNANDO TORRES                         Sim       PSD       Bahia                    196
CD03O038O 005235 GERALDO SIMÕES                          Sim       PT        Bahia                    185
CD03O038O 005235 JÂNIO NATAL                             Sim       PRP       Bahia                    198
CD03O038O 005235 JOÃO LEÃO                               Sim       PP        Bahia                    199
CD03O038O 005235 JOSÉ CARLOS ARAÚJO                      Sim       PSD       Bahia                    197
CD03O038O 005235 JOSÉ NUNES                              Sim       PSD       Bahia                    201
CD03O038O 005235 JOSÉ ROCHA                              Sim       PR        Bahia                    203
CD03O038O 005235 JOSIAS GOMES                            Sim       PT        Bahia                    202
CD03O038O 005235 JUTAHY JUNIOR                           Sim       PSDB      Bahia                    206
CD03O038O 005235 LUCIO VIEIRA LIMA                       Sim       PMDB      Bahia                    205
CD03O038O 005235 LUIZ ALBERTO                            Sim       PT        Bahia                    204
CD03O038O 005235 LUIZ DE DEUS                            Obstrução DEM       Bahia                    609
CD03O038O 005235 MARCELO GUIMARÃES FILHO                 Sim       PMDB      Bahia                    627
CD03O038O 005235 MÁRCIO MARINHO                          Sim       PRB       Bahia                    212
CD03O038O 005235 MARCOS MEDRADO                          Sim       PDT       Bahia                    200
CD03O038O 005235 MÁRIO NEGROMONTE                        Sim       PP        Bahia                    210
CD03O038O 005235 OZIEL OLIVEIRA                          Sim       PDT       Bahia                    215
CD03O038O 005235 PAULO MAGALHÃES                         Sim       PSD       Bahia                    214
CD03O038O 005235 ROBERTO BRITTO                          Sim       PP        Bahia                    211
CD03O038O 005235 SÉRGIO BRITO                            Sim       PSD       Bahia                    213
CD03O038O 005235 VALMIR ASSUNÇÃO                         Sim       PT        Bahia                    218
CD03O038O 005235 WALDENOR PEREIRA                        Sim       PT        Bahia                    219
CD03O038O 005235 ZEZÉU RIBEIRO                           Sim       PT        Bahia                    217
CD03O038O 005235 AELTON FREITAS                          Sim       PR        Minas Gerais             224
CD03O038O 005235 ANTÔNIO ROBERTO                         Sim       PV        Minas Gerais             229
CD03O038O 005235 BONIFÁCIO DE ANDRADA                    Sim       PSDB      Minas Gerais             534
CD03O038O 005235 DIEGO ANDRADE                           Sim       PSD       Minas Gerais             228
CD03O038O 005235 DIMAS FABIANO                           Sim       PP        Minas Gerais             231
