CD01O218E 004730 BERINHO BANTIM                          Obstrução PSDB      Roraima                  1
CD01O218E 004730 FRANCISCO ARAÚJO                        Não       PSL       Roraima                  570
CD01O218E 004730 JHONATAN DE JESUS                       Não       PRB       Roraima                  5  
CD01O218E 004730 LUCIANO CASTRO                          Não       PR        Roraima                  4  
CD01O218E 004730 PAULO CESAR QUARTIERO                   Obstrução DEM       Roraima                  6  
CD01O218E 004730 DALVA FIGUEIREDO                        Não       PT        Amapá                    9  
CD01O218E 004730 DAVI ALCOLUMBRE                         Obstrução DEM       Amapá                    10 
CD01O218E 004730 EVANDRO MILHOMEN                        Não       PCdoB     Amapá                    11 
CD01O218E 004730 VINICIUS GURGEL                         Não       PRTB      Amapá                    16 
CD01O218E 004730 BETO FARO                               Não       PT        Pará                     19 
CD01O218E 004730 CLÁUDIO PUTY                            Não       PT        Pará                     22 
CD01O218E 004730 ELCIONE BARBALHO                        Não       PMDB      Pará                     21 
CD01O218E 004730 JOSÉ PRIANTE                            Não       PMDB      Pará                     26 
CD01O218E 004730 JOSUÉ BENGTSON                          Não       PTB       Pará                     30 
CD01O218E 004730 LÚCIO VALE                              Não       PR        Pará                     29 
CD01O218E 004730 LUIZ OTÁVIO                             Não       PMDB      Pará                     526
CD01O218E 004730 MIRIQUINHO BATISTA                      Não       PT        Pará                     35 
CD01O218E 004730 ZEQUINHA MARINHO                        Não       PSC       Pará                     33 
CD01O218E 004730 CARLOS SOUZA                            Não       PP        Amazonas                 37 
CD01O218E 004730 HENRIQUE OLIVEIRA                       Não       PR        Amazonas                 36 
CD01O218E 004730 SABINO CASTELO BRANCO                   Não       PTB       Amazonas                 43 
CD01O218E 004730 CARLOS MAGNO                            Não       PP        Rondonia                 44 
CD01O218E 004730 LINDOMAR GARÇON                         Não       PV        Rondonia                 45 
CD01O218E 004730 MARINHA RAUPP                           Não       PMDB      Rondonia                 50 
CD01O218E 004730 MAURO NAZIF                             Não       PSB       Rondonia                 46 
CD01O218E 004730 MOREIRA MENDES                          Não       PPS       Rondonia                 49 
CD01O218E 004730 NATAN DONADON                           Não       PMDB      Rondonia                 51 
CD01O218E 004730 NILTON CAPIXABA                         Não       PTB       Rondonia                 47 
CD01O218E 004730 PADRE TON                               Não       PT        Rondonia                 48 
CD01O218E 004730 HENRIQUE AFONSO                         Não       PV        Acre                     52 
CD01O218E 004730 PERPÉTUA ALMEIDA                        Não       PCdoB     Acre                     56 
CD01O218E 004730 SIBÁ MACHADO                            Não       PT        Acre                     58 
CD01O218E 004730 TAUMATURGO LIMA                         Não       PT        Acre                     59 
CD01O218E 004730 ÂNGELO AGNOLIN                          Não       PDT       Tocantins                61 
CD01O218E 004730 JÚNIOR COIMBRA                          Não       PMDB      Tocantins                66 
CD01O218E 004730 LÁZARO BOTELHO                          Não       PP        Tocantins                63 
CD01O218E 004730 PROFESSORA DORINHA SEABRA REZEN         Obstrução DEM       Tocantins                67 
CD01O218E 004730 ALBERTO FILHO                           Não       PMDB      Maranhão                 71 
CD01O218E 004730 CLEBER VERDE                            Não       PRB       Maranhão                 70 
CD01O218E 004730 COSTA FERREIRA                          Não       PSC       Maranhão                 571
CD01O218E 004730 DAVI ALVES SILVA JÚNIOR                 Não       PR        Maranhão                 528
CD01O218E 004730 DOMINGOS DUTRA                          Não       PT        Maranhão                 72 
CD01O218E 004730 EDIVALDO HOLANDA JUNIOR                 Não       PTC       Maranhão                 73 
CD01O218E 004730 GASTÃO VIEIRA                           Não       PMDB      Maranhão                 75 
CD01O218E 004730 HÉLIO SANTOS                            Obstrução PSDB      Maranhão                 76 
CD01O218E 004730 LOURIVAL MENDES                         Não       PTdoB     Maranhão                 77 
CD01O218E 004730 PROFESSOR SETIMO                        Não       PMDB      Maranhão                 81 
CD01O218E 004730 WALDIR MARANHÃO                         Não       PP        Maranhão                 84 
CD01O218E 004730 ANDRÉ FIGUEIREDO                        Não       PDT       Ceará                    89 
CD01O218E 004730 ANÍBAL GOMES                            Não       PMDB      Ceará                    87 
CD01O218E 004730 ARIOSTO HOLANDA                         Não       PSB       Ceará                    92 
CD01O218E 004730 ARNON BEZERRA                           Não       PTB       Ceará                    90 
CD01O218E 004730 CHICO LOPES                             Não       PCdoB     Ceará                    88 
CD01O218E 004730 DOMINGOS NETO                           Não       PSB       Ceará                    97 
CD01O218E 004730 EUDES XAVIER                            Não       PT        Ceará                    91 
CD01O218E 004730 GORETE PEREIRA                          Não       PR        Ceará                    100
CD01O218E 004730 JOÃO ANANIAS                            Não       PCdoB     Ceará                    106
CD01O218E 004730 JOSÉ AIRTON                             Não       PT        Ceará                    101
CD01O218E 004730 JOSÉ GUIMARÃES                          Não       PT        Ceará                    103
